fan_id,segment,offer_response_probability
F00622,Casual Followers,0.115
F04172,Dormant / At-Risk,0.115
F00786,Dormant / At-Risk,0.115
F00123,Dormant / At-Risk,0.115
F04867,Casual Followers,0.115
F02612,Digital Browsers,0.115
F03534,Digital Browsers,0.115
F02857,Dormant / At-Risk,0.114
F01127,Digital Browsers,0.114
F01780,Digital Browsers,0.114
F03084,Dormant / At-Risk,0.113
F03300,Digital Browsers,0.112
F02063,Digital Browsers,0.112
F05157,Casual Followers,0.112
F01516,Casual Followers,0.112
F00806,Digital Browsers,0.111
F02791,Digital Browsers,0.111
F00420,Dormant / At-Risk,0.111
F05709,Dormant / At-Risk,0.111
F05520,Digital Browsers,0.111
F02573,Dormant / At-Risk,0.111
F04211,Digital Browsers,0.111
F05973,Casual Followers,0.111
F02346,Digital Browsers,0.11
F04582,Casual Followers,0.11
F05914,Dormant / At-Risk,0.11
F05773,Dormant / At-Risk,0.11
F02808,Digital Browsers,0.11
F00926,Digital Browsers,0.11
F03258,Digital Browsers,0.109
F04041,Casual Followers,0.109
F01524,Dormant / At-Risk,0.109
F00040,Casual Followers,0.109
F00490,Digital Browsers,0.109
F01966,Dormant / At-Risk,0.109
F01408,Digital Browsers,0.108
F02024,Dormant / At-Risk,0.108
F05101,Dormant / At-Risk,0.108
F04784,Dormant / At-Risk,0.108
F02096,Dormant / At-Risk,0.108
F00153,Dormant / At-Risk,0.108
F04986,Digital Browsers,0.108
F04189,Casual Followers,0.108
F01822,Dormant / At-Risk,0.108
F00070,Digital Browsers,0.107
F02637,Digital Browsers,0.107
F02646,Casual Followers,0.107
F04816,Dormant / At-Risk,0.107
F00101,Dormant / At-Risk,0.107
F04911,Digital Browsers,0.107
F03393,Casual Followers,0.107
F03176,Dormant / At-Risk,0.107
F00901,Dormant / At-Risk,0.107
F03166,Digital Browsers,0.107
F01041,Casual Followers,0.107
F00585,Casual Followers,0.106
F04927,Casual Followers,0.106
F03950,Digital Browsers,0.106
F02204,Digital Browsers,0.106
F03642,Casual Followers,0.106
F03292,Digital Browsers,0.106
F04858,Digital Browsers,0.106
F01146,Digital Browsers,0.105
F03818,Dormant / At-Risk,0.105
F04161,Dormant / At-Risk,0.105
F00838,Digital Browsers,0.105
F04202,Digital Browsers,0.105
F01507,Digital Browsers,0.105
F02524,Digital Browsers,0.104
F00513,Casual Followers,0.104
F05231,Dormant / At-Risk,0.104
F03249,Dormant / At-Risk,0.104
F00686,Dormant / At-Risk,0.104
F00561,Dormant / At-Risk,0.104
F03015,Casual Followers,0.104
F04543,Dormant / At-Risk,0.104
F00875,Digital Browsers,0.104
F03575,Dormant / At-Risk,0.104
F04357,Dormant / At-Risk,0.104
F01020,Dormant / At-Risk,0.104
F02719,Dormant / At-Risk,0.103
F02270,Digital Browsers,0.103
F05454,Dormant / At-Risk,0.103
F03806,Digital Browsers,0.103
F01947,Digital Browsers,0.103
F00142,Digital Browsers,0.103
F05043,Digital Browsers,0.103
F02856,Dormant / At-Risk,0.103
F04590,Dormant / At-Risk,0.103
F02242,Dormant / At-Risk,0.103
F01376,Digital Browsers,0.103
F01585,Dormant / At-Risk,0.103
F00984,Digital Browsers,0.103
F04295,Dormant / At-Risk,0.103
F04717,Dormant / At-Risk,0.103
F03522,Dormant / At-Risk,0.103
F00046,Dormant / At-Risk,0.102
F04335,Dormant / At-Risk,0.102
F02098,Digital Browsers,0.102
F00184,Digital Browsers,0.102
F05614,Dormant / At-Risk,0.102
F02150,Casual Followers,0.102
F00962,Dormant / At-Risk,0.102
F01149,Digital Browsers,0.102
F03154,Dormant / At-Risk,0.102
F02942,Digital Browsers,0.102
F01193,Dormant / At-Risk,0.102
F03289,Digital Browsers,0.102
F01088,Dormant / At-Risk,0.102
F02743,Dormant / At-Risk,0.102
F00264,Dormant / At-Risk,0.102
F05356,Dormant / At-Risk,0.102
F04197,Dormant / At-Risk,0.102
F02692,Digital Browsers,0.102
F05222,Digital Browsers,0.101
F00573,Digital Browsers,0.101
F01190,Dormant / At-Risk,0.101
F05746,Dormant / At-Risk,0.101
F02047,Digital Browsers,0.101
F01746,Digital Browsers,0.101
F00176,Dormant / At-Risk,0.101
F02022,Dormant / At-Risk,0.101
F03468,Casual Followers,0.101
F03439,Dormant / At-Risk,0.101
F03511,Digital Browsers,0.101
F02353,Digital Browsers,0.101
F04771,Digital Browsers,0.101
F03596,Dormant / At-Risk,0.101
F00839,Dormant / At-Risk,0.101
F05780,Dormant / At-Risk,0.101
F01759,Dormant / At-Risk,0.101
F01796,Digital Browsers,0.101
F03255,Digital Browsers,0.101
F05052,Dormant / At-Risk,0.101
F04525,Digital Browsers,0.101
F04528,Dormant / At-Risk,0.101
F01819,Digital Browsers,0.101
F01705,Dormant / At-Risk,0.1
F03550,Dormant / At-Risk,0.1
F05471,Dormant / At-Risk,0.1
F01173,Dormant / At-Risk,0.1
F02370,Digital Browsers,0.1
F01036,Dormant / At-Risk,0.1
F02944,Dormant / At-Risk,0.1
F03454,Digital Browsers,0.1
F02039,Dormant / At-Risk,0.1
F05573,Dormant / At-Risk,0.1
F03024,Dormant / At-Risk,0.1
F05180,Casual Followers,0.1
F04666,Digital Browsers,0.1
F03772,Casual Followers,0.1
F05998,Dormant / At-Risk,0.1
F04377,Casual Followers,0.1
F05853,Dormant / At-Risk,0.1
F04234,Digital Browsers,0.1
F00109,Dormant / At-Risk,0.099
F02519,Digital Browsers,0.099
F05089,Dormant / At-Risk,0.099
F05342,Dormant / At-Risk,0.099
F05507,Dormant / At-Risk,0.099
F00983,Dormant / At-Risk,0.099
F01927,Dormant / At-Risk,0.099
F00706,Dormant / At-Risk,0.099
F00829,Dormant / At-Risk,0.099
F00813,Digital Browsers,0.099
F01804,Digital Browsers,0.099
F04200,Dormant / At-Risk,0.099
F05360,Digital Browsers,0.099
F03670,Digital Browsers,0.099
F05701,Digital Browsers,0.099
F05707,Digital Browsers,0.099
F03921,Dormant / At-Risk,0.099
F05246,Dormant / At-Risk,0.099
F02214,Dormant / At-Risk,0.098
F03767,Casual Followers,0.098
F05395,Dormant / At-Risk,0.098
F04834,Digital Browsers,0.098
F04107,Dormant / At-Risk,0.098
F00858,Dormant / At-Risk,0.098
F03198,Dormant / At-Risk,0.098
F02798,Dormant / At-Risk,0.098
F01058,Digital Browsers,0.098
F01203,Dormant / At-Risk,0.098
F02964,Dormant / At-Risk,0.098
F03418,Dormant / At-Risk,0.098
F02965,Casual Followers,0.098
F04433,Dormant / At-Risk,0.098
F02109,Dormant / At-Risk,0.098
F05761,Dormant / At-Risk,0.098
F00067,Digital Browsers,0.098
F00044,Dormant / At-Risk,0.098
F00166,Dormant / At-Risk,0.098
F05567,Dormant / At-Risk,0.098
F05856,Dormant / At-Risk,0.098
F00950,Dormant / At-Risk,0.098
F04280,Digital Browsers,0.098
F02675,Dormant / At-Risk,0.098
F01028,Digital Browsers,0.098
F02834,Dormant / At-Risk,0.098
F04039,Dormant / At-Risk,0.098
F04289,Dormant / At-Risk,0.098
F03240,Digital Browsers,0.098
F01846,Dormant / At-Risk,0.097
F03631,Dormant / At-Risk,0.097
F00718,Dormant / At-Risk,0.097
F05440,Dormant / At-Risk,0.097
F02010,Dormant / At-Risk,0.097
F01999,Dormant / At-Risk,0.097
F03524,Casual Followers,0.097
F05412,Digital Browsers,0.097
F05150,Dormant / At-Risk,0.097
F05645,Digital Browsers,0.097
F02682,Dormant / At-Risk,0.097
F05566,Dormant / At-Risk,0.097
F01844,Casual Followers,0.097
F04782,Dormant / At-Risk,0.097
F03979,Dormant / At-Risk,0.097
F03914,Digital Browsers,0.097
F03868,Dormant / At-Risk,0.097
F05613,Dormant / At-Risk,0.097
F05745,Dormant / At-Risk,0.097
F02960,Dormant / At-Risk,0.097
F05636,Dormant / At-Risk,0.097
F02321,Digital Browsers,0.097
F05108,Dormant / At-Risk,0.097
F05093,Dormant / At-Risk,0.097
F02192,Digital Browsers,0.097
F01074,Digital Browsers,0.097
F05815,Dormant / At-Risk,0.097
F01023,Digital Browsers,0.097
F00434,Casual Followers,0.097
F03925,Dormant / At-Risk,0.097
F02191,Digital Browsers,0.097
F03006,Dormant / At-Risk,0.097
F05899,Dormant / At-Risk,0.097
F04832,Dormant / At-Risk,0.097
F01863,Dormant / At-Risk,0.097
F00866,Dormant / At-Risk,0.097
F02072,Dormant / At-Risk,0.097
F01786,Dormant / At-Risk,0.097
F00524,Dormant / At-Risk,0.096
F00939,Dormant / At-Risk,0.096
F03080,Dormant / At-Risk,0.096
F01244,Digital Browsers,0.096
F00185,Dormant / At-Risk,0.096
F05953,Dormant / At-Risk,0.096
F05975,Dormant / At-Risk,0.096
F03143,Dormant / At-Risk,0.096
F05560,Dormant / At-Risk,0.096
F04659,Digital Browsers,0.096
F00476,Dormant / At-Risk,0.096
F00373,Digital Browsers,0.096
F03217,Dormant / At-Risk,0.096
F01454,Dormant / At-Risk,0.096
F04102,Dormant / At-Risk,0.096
F03853,Digital Browsers,0.096
F03848,Dormant / At-Risk,0.096
F04018,Dormant / At-Risk,0.096
F02871,Digital Browsers,0.096
F00361,Dormant / At-Risk,0.096
F00354,Dormant / At-Risk,0.096
F01645,Dormant / At-Risk,0.096
F05282,Digital Browsers,0.096
F01664,Digital Browsers,0.096
F02935,Dormant / At-Risk,0.096
F03647,Dormant / At-Risk,0.096
F04285,Digital Browsers,0.096
F02410,Dormant / At-Risk,0.096
F05321,Dormant / At-Risk,0.096
F00405,Dormant / At-Risk,0.096
F01090,Dormant / At-Risk,0.096
F05373,Dormant / At-Risk,0.096
F00834,Dormant / At-Risk,0.096
F00827,Dormant / At-Risk,0.096
F01610,Dormant / At-Risk,0.096
F03303,Dormant / At-Risk,0.096
F03384,Dormant / At-Risk,0.096
F04637,Casual Followers,0.096
F02703,Digital Browsers,0.096
F02495,Digital Browsers,0.096
F05462,Digital Browsers,0.096
F05016,Dormant / At-Risk,0.096
F01274,Dormant / At-Risk,0.096
F01268,Dormant / At-Risk,0.096
F04828,Dormant / At-Risk,0.096
F03823,Dormant / At-Risk,0.095
F03640,Dormant / At-Risk,0.095
F00618,Casual Followers,0.095
F02067,Dormant / At-Risk,0.095
F00481,Dormant / At-Risk,0.095
F02722,Dormant / At-Risk,0.095
F01647,Dormant / At-Risk,0.095
F04249,Dormant / At-Risk,0.095
F02432,Dormant / At-Risk,0.095
F03759,Dormant / At-Risk,0.095
F04613,Dormant / At-Risk,0.095
F05306,Dormant / At-Risk,0.095
F00151,Digital Browsers,0.095
F03518,Dormant / At-Risk,0.095
F01940,Dormant / At-Risk,0.095
F05147,Digital Browsers,0.095
F01323,Dormant / At-Risk,0.095
F01391,Casual Followers,0.095
F02635,Digital Browsers,0.095
F01254,Dormant / At-Risk,0.095
F00655,Dormant / At-Risk,0.095
F00543,Dormant / At-Risk,0.095
F02233,Dormant / At-Risk,0.095
F03331,Dormant / At-Risk,0.095
F01788,Dormant / At-Risk,0.095
F01752,Dormant / At-Risk,0.095
F04299,Digital Browsers,0.095
F04297,Dormant / At-Risk,0.095
F00854,Dormant / At-Risk,0.095
F02583,Dormant / At-Risk,0.095
F03616,Casual Followers,0.095
F04806,Digital Browsers,0.095
F02591,Casual Followers,0.095
F05058,Dormant / At-Risk,0.095
F05311,Dormant / At-Risk,0.095
F04635,Dormant / At-Risk,0.095
F03408,Dormant / At-Risk,0.095
F04185,Dormant / At-Risk,0.095
F00104,Dormant / At-Risk,0.095
F05920,Digital Browsers,0.095
F05153,Dormant / At-Risk,0.095
F04516,Dormant / At-Risk,0.095
F00999,Dormant / At-Risk,0.094
F05756,Dormant / At-Risk,0.094
F04334,Dormant / At-Risk,0.094
F03671,Dormant / At-Risk,0.094
F00442,Digital Browsers,0.094
F01683,Dormant / At-Risk,0.094
F03245,Dormant / At-Risk,0.094
F01644,Dormant / At-Risk,0.094
F05423,Dormant / At-Risk,0.094
F03377,Dormant / At-Risk,0.094
F02911,Dormant / At-Risk,0.094
F01048,Dormant / At-Risk,0.094
F00014,Digital Browsers,0.094
F05981,Digital Browsers,0.094
F00021,Dormant / At-Risk,0.094
F00003,Digital Browsers,0.094
F04164,Dormant / At-Risk,0.094
F02522,Dormant / At-Risk,0.094
F03517,Digital Browsers,0.094
F02626,Dormant / At-Risk,0.094
F05084,Dormant / At-Risk,0.094
F00617,Dormant / At-Risk,0.094
F04629,Dormant / At-Risk,0.094
F02041,Digital Browsers,0.094
F00365,Dormant / At-Risk,0.094
F04918,Dormant / At-Risk,0.094
F01836,Dormant / At-Risk,0.094
F05181,Dormant / At-Risk,0.094
F05195,Dormant / At-Risk,0.094
F03058,Dormant / At-Risk,0.094
F05102,Dormant / At-Risk,0.094
F01857,Digital Browsers,0.094
F02466,Dormant / At-Risk,0.094
F04269,Digital Browsers,0.094
F02498,Dormant / At-Risk,0.094
F02448,Dormant / At-Risk,0.094
F02770,Dormant / At-Risk,0.094
F05130,Casual Followers,0.094
F00374,Dormant / At-Risk,0.094
F01140,Digital Browsers,0.094
F03889,Digital Browsers,0.094
F05493,Dormant / At-Risk,0.094
F01613,Dormant / At-Risk,0.094
F05273,Dormant / At-Risk,0.094
F03821,Dormant / At-Risk,0.094
F02229,Dormant / At-Risk,0.094
F04062,Dormant / At-Risk,0.094
F02248,Dormant / At-Risk,0.094
F02970,Dormant / At-Risk,0.094
F02957,Casual Followers,0.094
F03473,Dormant / At-Risk,0.094
F01296,Dormant / At-Risk,0.094
F05939,Casual Followers,0.094
F02639,Dormant / At-Risk,0.094
F02438,Dormant / At-Risk,0.094
F04573,Dormant / At-Risk,0.094
F04555,Casual Followers,0.094
F03141,Dormant / At-Risk,0.094
F01952,Dormant / At-Risk,0.093
F05960,Dormant / At-Risk,0.093
F04561,Dormant / At-Risk,0.093
F02225,Dormant / At-Risk,0.093
F02686,Dormant / At-Risk,0.093
F02630,Dormant / At-Risk,0.093
F02271,Dormant / At-Risk,0.093
F05335,Dormant / At-Risk,0.093
F03064,Dormant / At-Risk,0.093
F01537,Digital Browsers,0.093
F05552,Dormant / At-Risk,0.093
F02501,Digital Browsers,0.093
F04430,Casual Followers,0.093
F02846,Dormant / At-Risk,0.093
F00898,Dormant / At-Risk,0.093
F02329,Digital Browsers,0.093
F02459,Dormant / At-Risk,0.093
F04294,Dormant / At-Risk,0.093
F01575,Dormant / At-Risk,0.093
F01512,Dormant / At-Risk,0.093
F03324,Dormant / At-Risk,0.093
F05332,Dormant / At-Risk,0.093
F01535,Dormant / At-Risk,0.093
F05034,Digital Browsers,0.093
F02166,Dormant / At-Risk,0.093
F00512,Dormant / At-Risk,0.093
F05626,Dormant / At-Risk,0.093
F05114,Dormant / At-Risk,0.093
F02216,Dormant / At-Risk,0.093
F05013,Digital Browsers,0.093
F05172,Dormant / At-Risk,0.093
F02941,Casual Followers,0.093
F00584,Dormant / At-Risk,0.093
F03907,Dormant / At-Risk,0.093
F05081,Digital Browsers,0.093
F00025,Dormant / At-Risk,0.093
F05230,Dormant / At-Risk,0.093
F05109,Dormant / At-Risk,0.093
F02766,Dormant / At-Risk,0.093
F00144,Dormant / At-Risk,0.093
F03653,Dormant / At-Risk,0.093
F04781,Digital Browsers,0.093
F01005,Digital Browsers,0.093
F00491,Dormant / At-Risk,0.093
F00650,Dormant / At-Risk,0.093
F00988,Dormant / At-Risk,0.093
F04455,Dormant / At-Risk,0.093
F00808,Dormant / At-Risk,0.093
F04036,Dormant / At-Risk,0.093
F01434,Dormant / At-Risk,0.093
F02822,Dormant / At-Risk,0.093
F04935,Dormant / At-Risk,0.093
F04767,Dormant / At-Risk,0.093
F05839,Dormant / At-Risk,0.093
F02716,Digital Browsers,0.093
F00332,Dormant / At-Risk,0.093
F05693,Dormant / At-Risk,0.093
F02978,Dormant / At-Risk,0.093
F01514,Dormant / At-Risk,0.093
F02252,Dormant / At-Risk,0.093
F02575,Dormant / At-Risk,0.092
F03694,Dormant / At-Risk,0.092
F01764,Dormant / At-Risk,0.092
F02014,Digital Browsers,0.092
F01873,Dormant / At-Risk,0.092
F04398,Dormant / At-Risk,0.092
F02599,Dormant / At-Risk,0.092
F05734,Dormant / At-Risk,0.092
F03901,Dormant / At-Risk,0.092
F01568,Dormant / At-Risk,0.092
F03065,Dormant / At-Risk,0.092
F02849,Digital Browsers,0.092
F00098,Casual Followers,0.092
F02613,Dormant / At-Risk,0.092
F05625,Digital Browsers,0.092
F01538,Dormant / At-Risk,0.092
F05115,Dormant / At-Risk,0.092
F02057,Digital Browsers,0.092
F01749,Dormant / At-Risk,0.092
F02247,Dormant / At-Risk,0.092
F03407,Dormant / At-Risk,0.092
F02685,Dormant / At-Risk,0.092
F01258,Dormant / At-Risk,0.092
F04578,Dormant / At-Risk,0.092
F04522,Dormant / At-Risk,0.092
F04521,Digital Browsers,0.092
F00071,Dormant / At-Risk,0.092
F00601,Digital Browsers,0.092
F04126,Casual Followers,0.092
F02691,Dormant / At-Risk,0.092
F03045,Dormant / At-Risk,0.092
F04488,Digital Browsers,0.092
F01286,Dormant / At-Risk,0.092
F01919,Digital Browsers,0.092
F03540,Dormant / At-Risk,0.092
F03771,Digital Browsers,0.092
F02393,Dormant / At-Risk,0.092
F02828,Dormant / At-Risk,0.092
F03034,Dormant / At-Risk,0.092
F00057,Digital Browsers,0.092
F02207,Dormant / At-Risk,0.092
F00982,Dormant / At-Risk,0.092
F00336,Dormant / At-Risk,0.092
F04634,Digital Browsers,0.092
F01709,Dormant / At-Risk,0.092
F02767,Dormant / At-Risk,0.092
F05247,Dormant / At-Risk,0.092
F01365,Dormant / At-Risk,0.092
F05271,Dormant / At-Risk,0.092
F02397,Digital Browsers,0.092
F04600,Dormant / At-Risk,0.092
F01404,Dormant / At-Risk,0.092
F00245,Dormant / At-Risk,0.092
F01072,Dormant / At-Risk,0.092
F05113,Dormant / At-Risk,0.092
F03186,Digital Browsers,0.092
F02927,Dormant / At-Risk,0.092
F05752,Digital Browsers,0.092
F02016,Dormant / At-Risk,0.092
F01513,Dormant / At-Risk,0.092
F01582,Casual Followers,0.092
F01643,Dormant / At-Risk,0.092
F04487,Dormant / At-Risk,0.092
F05574,Dormant / At-Risk,0.092
F02030,Dormant / At-Risk,0.092
F02029,Dormant / At-Risk,0.092
F00557,Dormant / At-Risk,0.092
F02187,Dormant / At-Risk,0.092
F03903,Dormant / At-Risk,0.092
F01600,Dormant / At-Risk,0.092
F00391,Dormant / At-Risk,0.092
F00990,Dormant / At-Risk,0.092
F04568,Dormant / At-Risk,0.091
F03777,Dormant / At-Risk,0.091
F05162,Dormant / At-Risk,0.091
F01959,Dormant / At-Risk,0.091
F02429,Dormant / At-Risk,0.091
F01980,Dormant / At-Risk,0.091
F03447,Casual Followers,0.091
F01273,Digital Browsers,0.091
F01577,Dormant / At-Risk,0.091
F03363,Dormant / At-Risk,0.091
F04000,Dormant / At-Risk,0.091
F02301,Digital Browsers,0.091
F04690,Casual Followers,0.091
F05338,Dormant / At-Risk,0.091
F00567,Digital Browsers,0.091
F02971,Dormant / At-Risk,0.091
F04399,Dormant / At-Risk,0.091
F00652,Dormant / At-Risk,0.091
F00523,Digital Browsers,0.091
F05996,Dormant / At-Risk,0.091
F04400,Dormant / At-Risk,0.091
F02689,Dormant / At-Risk,0.091
F03071,Dormant / At-Risk,0.091
F03083,Dormant / At-Risk,0.091
F03436,Dormant / At-Risk,0.091
F04144,Dormant / At-Risk,0.091
F04840,Dormant / At-Risk,0.091
F04188,Digital Browsers,0.091
F00088,Dormant / At-Risk,0.091
F02728,Dormant / At-Risk,0.091
F05499,Dormant / At-Risk,0.091
F03211,Dormant / At-Risk,0.091
F03151,Dormant / At-Risk,0.091
F00318,Dormant / At-Risk,0.091
F00291,Digital Browsers,0.091
F02493,Dormant / At-Risk,0.091
F04093,Dormant / At-Risk,0.091
F01792,Digital Browsers,0.091
F03351,Digital Browsers,0.091
F02920,Dormant / At-Risk,0.091
F02019,Digital Browsers,0.091
F00417,Digital Browsers,0.091
F05694,Dormant / At-Risk,0.091
F00447,Dormant / At-Risk,0.091
F03588,Dormant / At-Risk,0.091
F03532,Dormant / At-Risk,0.091
F04803,Casual Followers,0.091
F05718,Dormant / At-Risk,0.091
F01194,Dormant / At-Risk,0.091
F03358,Dormant / At-Risk,0.091
F01100,Dormant / At-Risk,0.091
F02733,Dormant / At-Risk,0.091
F03579,Dormant / At-Risk,0.091
F02552,Digital Browsers,0.091
F00956,Dormant / At-Risk,0.091
F05064,Digital Browsers,0.091
F05724,Digital Browsers,0.091
F00767,Digital Browsers,0.091
F00734,Dormant / At-Risk,0.091
F05204,Dormant / At-Risk,0.091
F03678,Dormant / At-Risk,0.091
F05682,Dormant / At-Risk,0.091
F00785,Dormant / At-Risk,0.091
F04667,Dormant / At-Risk,0.091
F01925,Dormant / At-Risk,0.091
F04676,Dormant / At-Risk,0.091
F05185,Digital Browsers,0.091
F05307,Dormant / At-Risk,0.091
F01356,Dormant / At-Risk,0.091
F01706,Dormant / At-Risk,0.091
F01655,Digital Browsers,0.091
F04089,Digital Browsers,0.091
F05858,Digital Browsers,0.091
F00954,Dormant / At-Risk,0.091
F01001,Dormant / At-Risk,0.091
F03226,Dormant / At-Risk,0.091
F00259,Dormant / At-Risk,0.091
F01316,Dormant / At-Risk,0.091
F05372,Dormant / At-Risk,0.091
F01427,Dormant / At-Risk,0.091
F02741,Dormant / At-Risk,0.091
F01360,Dormant / At-Risk,0.091
F00393,Dormant / At-Risk,0.091
F02860,Dormant / At-Risk,0.091
F02433,Dormant / At-Risk,0.091
F02408,Digital Browsers,0.091
F04608,Dormant / At-Risk,0.091
F04601,Dormant / At-Risk,0.091
F02480,Digital Browsers,0.091
F05310,Digital Browsers,0.091
F01064,Dormant / At-Risk,0.091
F01066,Dormant / At-Risk,0.091
F02037,Dormant / At-Risk,0.091
F00987,Digital Browsers,0.091
F00141,Dormant / At-Risk,0.09
F00203,Digital Browsers,0.09
F01909,Dormant / At-Risk,0.09
F02406,Digital Browsers,0.09
F01166,Digital Browsers,0.09
F01478,Dormant / At-Risk,0.09
F04764,Digital Browsers,0.09
F02094,Dormant / At-Risk,0.09
F02288,Casual Followers,0.09
F00445,Dormant / At-Risk,0.09
F02144,Digital Browsers,0.09
F02940,Dormant / At-Risk,0.09
F01007,Dormant / At-Risk,0.09
F03220,Dormant / At-Risk,0.09
F05161,Digital Browsers,0.09
F01150,Digital Browsers,0.09
F00826,Dormant / At-Risk,0.09
F05771,Dormant / At-Risk,0.09
F02835,Dormant / At-Risk,0.09
F04916,Dormant / At-Risk,0.09
F00358,Dormant / At-Risk,0.09
F00306,Casual Followers,0.09
F01827,Dormant / At-Risk,0.09
F00828,Dormant / At-Risk,0.09
F04133,Dormant / At-Risk,0.09
F03822,Dormant / At-Risk,0.09
F05857,Digital Browsers,0.09
F03856,Digital Browsers,0.09
F03857,Dormant / At-Risk,0.09
F04081,Dormant / At-Risk,0.09
F02516,Dormant / At-Risk,0.09
F02784,Dormant / At-Risk,0.09
F00247,Casual Followers,0.09
F03247,Digital Browsers,0.09
F01694,Digital Browsers,0.09
F01696,Dormant / At-Risk,0.09
F04611,Dormant / At-Risk,0.09
F01501,Digital Browsers,0.09
F02482,Dormant / At-Risk,0.09
F01649,Dormant / At-Risk,0.09
F02717,Digital Browsers,0.09
F04232,Casual Followers,0.09
F04825,Dormant / At-Risk,0.09
F05902,Dormant / At-Risk,0.09
F02664,Casual Followers,0.09
F03100,Dormant / At-Risk,0.09
F03431,Dormant / At-Risk,0.09
F05413,Digital Browsers,0.09
F01144,Dormant / At-Risk,0.09
F01526,Dormant / At-Risk,0.09
F01490,Digital Browsers,0.09
F02584,Digital Browsers,0.09
F02559,Dormant / At-Risk,0.09
F04240,Dormant / At-Risk,0.09
F04327,Digital Browsers,0.09
F00658,Dormant / At-Risk,0.09
F05581,Dormant / At-Risk,0.09
F05589,Dormant / At-Risk,0.09
F03061,Digital Browsers,0.09
F01973,Digital Browsers,0.09
F00673,Casual Followers,0.09
F02178,Digital Browsers,0.09
F01556,Dormant / At-Risk,0.09
F05503,Dormant / At-Risk,0.09
F02453,Digital Browsers,0.09
F05879,Digital Browsers,0.09
F05466,Dormant / At-Risk,0.09
F02162,Dormant / At-Risk,0.09
F00681,Dormant / At-Risk,0.09
F02088,Dormant / At-Risk,0.09
F04914,Dormant / At-Risk,0.09
F02368,Dormant / At-Risk,0.09
F05729,Dormant / At-Risk,0.09
F05735,Dormant / At-Risk,0.09
F03673,Digital Browsers,0.09
F04639,Dormant / At-Risk,0.09
F05516,Dormant / At-Risk,0.09
F01092,Dormant / At-Risk,0.09
F00575,Dormant / At-Risk,0.09
F04482,Digital Browsers,0.09
F02373,Digital Browsers,0.09
F01829,Dormant / At-Risk,0.09
F01886,Dormant / At-Risk,0.09
F04292,Casual Followers,0.09
F03758,Dormant / At-Risk,0.09
F01887,Dormant / At-Risk,0.09
F03156,Dormant / At-Risk,0.09
F00129,Digital Browsers,0.09
F03938,Dormant / At-Risk,0.09
F01384,Dormant / At-Risk,0.09
F05990,Dormant / At-Risk,0.09
F02729,Dormant / At-Risk,0.09
F02674,Digital Browsers,0.09
F04731,Dormant / At-Risk,0.09
F00024,Dormant / At-Risk,0.09
F04426,Dormant / At-Risk,0.089
F04042,Dormant / At-Risk,0.089
F05638,Dormant / At-Risk,0.089
F04422,Dormant / At-Risk,0.089
F00814,Dormant / At-Risk,0.089
F05763,Dormant / At-Risk,0.089
F04329,Dormant / At-Risk,0.089
F03953,Dormant / At-Risk,0.089
F01736,Digital Browsers,0.089
F00993,Dormant / At-Risk,0.089
F01669,Dormant / At-Risk,0.089
F05279,Dormant / At-Risk,0.089
F05278,Dormant / At-Risk,0.089
F03049,Dormant / At-Risk,0.089
F05977,Dormant / At-Risk,0.089
F01734,Digital Browsers,0.089
F04946,Digital Browsers,0.089
F04585,Dormant / At-Risk,0.089
F05829,Dormant / At-Risk,0.089
F02762,Dormant / At-Risk,0.089
F04111,Dormant / At-Risk,0.089
F04940,Dormant / At-Risk,0.089
F03462,Digital Browsers,0.089
F01184,Dormant / At-Risk,0.089
F03392,Dormant / At-Risk,0.089
F02788,Dormant / At-Risk,0.089
F04780,Dormant / At-Risk,0.089
F02509,Dormant / At-Risk,0.089
F04904,Dormant / At-Risk,0.089
F05236,Digital Browsers,0.089
F01619,Digital Browsers,0.089
F01614,Dormant / At-Risk,0.089
F03544,Dormant / At-Risk,0.089
F04356,Digital Browsers,0.089
F02116,Dormant / At-Risk,0.089
F02111,Dormant / At-Risk,0.089
F01662,Dormant / At-Risk,0.089
F05787,Digital Browsers,0.089
F02287,Dormant / At-Risk,0.089
F05775,Dormant / At-Risk,0.089
F00931,Dormant / At-Risk,0.089
F00996,Digital Browsers,0.089
F00919,Digital Browsers,0.089
F05732,Dormant / At-Risk,0.089
F01743,Dormant / At-Risk,0.089
F05040,Dormant / At-Risk,0.089
F01580,Digital Browsers,0.089
F03306,Digital Browsers,0.089
F01085,Dormant / At-Risk,0.089
F05104,Dormant / At-Risk,0.089
F03055,Digital Browsers,0.089
F05025,Dormant / At-Risk,0.089
F00721,Dormant / At-Risk,0.089
F03918,Digital Browsers,0.089
F04316,Digital Browsers,0.089
F03208,Dormant / At-Risk,0.089
F02597,Dormant / At-Risk,0.089
F01159,Dormant / At-Risk,0.089
F05515,Dormant / At-Risk,0.089
F04791,Dormant / At-Risk,0.089
F05595,Dormant / At-Risk,0.089
F05873,Dormant / At-Risk,0.089
F01492,Dormant / At-Risk,0.089
F01164,Digital Browsers,0.089
F02969,Dormant / At-Risk,0.089
F04094,Dormant / At-Risk,0.089
F04789,Digital Browsers,0.089
F00960,Digital Browsers,0.089
F03040,Dormant / At-Risk,0.089
F02028,Dormant / At-Risk,0.089
F00666,Dormant / At-Risk,0.089
